Name,Tier,Latest Deal,Portfolio,Retail ROI,Focus Area
Delphi Ventures,1,"Ambient
$7.20M
31 Mar 2025",160,160.36x,Ambient
Polychain Capital,1,"Warlock
$8.00M
27 Mar 2025",206,15.31x,Warlock
Sandeep Nailwal,1,"Capx AI
$3.14M
26 Mar 2025",129,0.37x,Capx AI
HashKey Capital,1,"Spot Zero
$4.50M
25 Mar 2025",260,1.70x,Spot Zero
The Spartan Group,1,"Spot Zero
$4.50M
25 Mar 2025",223,7.85x,Spot Zero
Galaxy,1,"Chronicle
$12.00M
25 Mar 2025",127,443.22x,Chronicle
Stani Kulechov,1,"Chronicle
$12.00M
25 Mar 2025",63,2.78x,Chronicle
Coinbase Ventures,1,"Rain
$24.50M
24 Mar 2025",423,3.15x,Rain
Andreessen Horowi...,1,"Walrus
$140.00M
20 Mar 2025",174,331.84x,Walrus
VanEck,1,"Manifest Finance
$2.50M
20 Mar 2025",12,1.44x,Manifest Finance
DragonFly Capital,1,"Hibachi
$5.00M
19 Mar 2025",165,5.88x,Hibachi
Balaji Srinivasan,1,"Pluralis Research
$7.60M
19 Mar 2025",146,3.45x,Pluralis Research
Paradigm,1,"Privy
$15.00M
19 Mar 2025",100,637.78x,Privy
Sequoia Capital,1,"Privy
$15.00M
19 Mar 2025",73,0.96x,Privy
YZi Labs (Prev. B...,1,"Opinion Labs
$5.00M
18 Mar 2025",260,3.03x,Opinion Labs
Santiago R. Santo...,1,"Yeet
$7.75M
18 Mar 2025",75,1.34x,Yeet
Bryan Pellegrino,1,"Yeet
$7.75M
18 Mar 2025",13,0.37x,Yeet
ConsenSys,1,"Mesh
$82.00M
11 Mar 2025",68,2.88x,Mesh
Multicoin Capital,1,"DoubleZero
$28.00M
06 Mar 2025",147,165.09x,DoubleZero
BlackRock,1,"Flowdesk
$52.00M
04 Mar 2025",6,1.44x,Flowdesk
Raj Gokal,1,"Raise
$63.00M
26 Feb 2025",25,0.08x,Raise
Pantera Capital,1,"Ethena
$100.00M
24 Feb 2025",214,101.60x,Ethena
Paul Veradittakit,1,"fomo
$2.00M
18 Feb 2025",13,0.01x,fomo
Circle,1,"Hashnote
N/A
21 Jan 2025",99,4.27x,Hashnote
Blockchain Capita...,1,"Merit Systems
$10.00M
16 Jan 2025",127,7.96x,Merit Systems
Alex Svanevik,1,"Uranium Digital
$1.70M
12 Dec 2024",21,0.02x,Uranium Digital
Y Combinator,1,"Notabene
$14.50M
12 Nov 2024",67,0.83x,Notabene
Arthur Hayes,1,"Cytonic
$8.30M
07 Nov 2024",18,0.28x,Cytonic
Quantstamp,2,"Bloctopus
$1.00M
01 Apr 2025",31,0.40x,Bloctopus
Amber Group,2,"Ambient
$7.20M
31 Mar 2025",93,0.77x,Ambient
Greenfield Capita...,2,"Warlock
$8.00M
27 Mar 2025",39,0.37x,Warlock
Tether,2,"Be Water
$10.80M
27 Mar 2025",14,0.26x,Be Water
P2 Ventures (Poly...,2,"Capx AI
$3.14M
26 Mar 2025",147,0.28x,Capx AI
MH Ventures,2,"Capx AI
$3.14M
26 Mar 2025",127,0.85x,Capx AI
Fenbushi Capital,2,"Chronicle
$12.00M
25 Mar 2025",150,0.41x,Chronicle
Robot Ventures,2,"Chronicle
$12.00M
25 Mar 2025",137,0.61x,Chronicle
IVC,2,"Spot Zero
$4.50M
25 Mar 2025",113,0.43x,Spot Zero
6th Man Ventures,2,"Chronicle
$12.00M
25 Mar 2025",76,1.25x,Chronicle
Immutable,2,"Immortal Rising 2
$3.00M
25 Mar 2025",10,0.72x,Immortal Rising 2
Hypersphere Ventu...,2,"Fragmetric
$5.00M
24 Mar 2025",94,0.95x,Fragmetric
Lightspeed Ventur...,2,"Rain
$24.50M
24 Mar 2025",63,3.66x,Rain
RockawayX,2,"Fragmetric
$5.00M
24 Mar 2025",47,73.68x,Fragmetric
Alliance DAO,2,"Guess.best
$350.00K
21 Mar 2025",72,0.54x,Guess.best
Framework Venture...,2,"Uranium Digital
$6.10M
20 Mar 2025",123,9.06x,Uranium Digital
Mirana Ventures,2,"Uranium Digital
$6.10M
20 Mar 2025",109,1.08x,Uranium Digital
Electric Capital,2,"Walrus
$140.00M
20 Mar 2025",91,440.15x,Walrus
Standard Crypto,2,"Walrus
$140.00M
20 Mar 2025",26,33.17x,Walrus
CoinFund,2,"Pluralis Research
$7.60M
19 Mar 2025",110,25.24x,Pluralis Research
Variant,2,"Pluralis Research
$7.60M
19 Mar 2025",59,68.99x,Pluralis Research
Union Square Vent...,2,"Pluralis Research
$7.60M
19 Mar 2025",46,825.98x,Pluralis Research
Ribbit Capital,2,"Privy
$15.00M
19 Mar 2025",42,1.44x,Privy
Animoca Brands,2,"Opinion Labs
$5.00M
18 Mar 2025",433,1.39x,Opinion Labs
CMT Digital,2,"Daisy
$3.90M
18 Mar 2025",118,407.18x,Daisy
Paul Taylor,2,"Level (Peregrine Exploration)
$2.60M
18 Mar 2025",41,0.54x,Level (Peregrine Exploration)
Digital Currency ...,2,"Slingshot
$16.00M
17 Mar 2025",238,170.22x,Slingshot
Sfermion,2,"Slingshot
$16.00M
17 Mar 2025",95,0.44x,Slingshot
KuCoin Labs,2,"Domin Network
N/A
17 Mar 2025",73,0.13x,Domin Network
OKX Ventures,2,"PlaysOut
$7.00M
14 Mar 2025",211,0.42x,PlaysOut
Kenetic Capital,2,"PlaysOut
$7.00M
14 Mar 2025",136,98.60x,PlaysOut
Accel,2,"RedotPay
$40.00M
14 Mar 2025",35,31.71x,RedotPay
HongShan (ex-Sequ...,2,"RedotPay
$40.00M
14 Mar 2025",21,1.13x,RedotPay
GSR,2,"M10
$3.00M
12 Mar 2025",176,0.32x,M10
Jane Street Capit...,2,"Vest Exchange
$5.00M
12 Mar 2025",20,0.99x,Vest Exchange
Arrington XRP Cap...,2,"Axelar
$30.00M
11 Mar 2025",140,1.07x,Axelar
Republic,2,"Sogni AI
$2.00M
11 Mar 2025",74,3.40x,Sogni AI
Distributed Globa...,2,"Axelar
$30.00M
11 Mar 2025",60,32.32x,Axelar
Slow Ventures,2,"Rakurai
$3.00M
11 Mar 2025",51,178.77x,Rakurai
C² Ventures,2,"Axelar
$30.00M
11 Mar 2025",45,0.27x,Axelar
1kx,2,"Seismic
$7.00M
06 Mar 2025",94,1.15x,Seismic
Maven 11 Capital,2,"August
$10.00M
06 Mar 2025",80,300.28x,August
Wintermute,2,"DoubleZero
$28.00M
06 Mar 2025",77,0.98x,DoubleZero
Boost VC,2,"Sati
$600.00K
05 Mar 2025",39,1134.83x,Sati
Ripple,2,"NCA (National Cryptocurrency Association)
$50.00M
05 Mar 2025",21,2.33x,NCA (National Cryptocurrency Association)
Mask Network,2,"Coral Finance
$3.00M
04 Mar 2025",72,0.66x,Coral Finance
KuCoin Ventures,2,"Coral Finance
$3.00M
04 Mar 2025",54,0.42x,Coral Finance
IOSG Ventures,2,"FanTV
$5.50M
28 Feb 2025",122,0.94x,FanTV
Hack VC,2,"Acki Nacki
$6.00M
28 Feb 2025",96,2.74x,Acki Nacki
Blockchain.com,2,"Acki Nacki
$6.00M
28 Feb 2025",35,9.03x,Acki Nacki
Ethereum Foundati...,2,"Orochi Network
N/A
27 Feb 2025",19,1.08x,Orochi Network
BNB Chain,2,"Orochi Network
N/A
27 Feb 2025",9,0.04x,Orochi Network
MEXC,2,"Ethena USDe
$20.00M
26 Feb 2025",67,0.13x,Ethena USDe
Nascent,2,"Ligero
$4.00M
26 Feb 2025",64,2.32x,Ligero
MEXC Ventures,2,"Ethena
$16.00M
26 Feb 2025",9,0.08x,Ethena
ParaFi Capital,2,"Bitwise
$70.00M
25 Feb 2025",107,3.73x,Bitwise
Shima Capital,2,"IMUA (Prev. Exocore)
N/A
24 Feb 2025",262,0.38x,IMUA (Prev. Exocore)
Draper Dragon,2,"IMUA (Prev. Exocore)
$5.00M
24 Feb 2025",57,0.37x,IMUA (Prev. Exocore)
SamsungNext,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",61,10.01x,Primus Labs (prev. PADO)
Alchemy,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",53,0.84x,Primus Labs (prev. PADO)
Avalanche Foundat...,2,"KnidosLabs
N/A
21 Feb 2025",21,0.09x,KnidosLabs
CMS Holdings,2,"Hedgemony
N/A
18 Feb 2025",189,7.09x,Hedgemony
GV Google Venture...,2,"Blockaid
$50.00M
18 Feb 2025",19,0.47x,Blockaid
Solana Ventures,2,"BitRobot
$6.00M
14 Feb 2025",140,0.55x,BitRobot
Delphi Ventures,1,"Ambient
$7.20M
31 Mar 2025",160,160.36x,Ambient
Polychain Capital,1,"Warlock
$8.00M
27 Mar 2025",206,15.31x,Warlock
Sandeep Nailwal,1,"Capx AI
$3.14M
26 Mar 2025",129,0.37x,Capx AI
HashKey Capital,1,"Spot Zero
$4.50M
25 Mar 2025",260,1.70x,Spot Zero
The Spartan Group,1,"Spot Zero
$4.50M
25 Mar 2025",223,7.85x,Spot Zero
Galaxy,1,"Chronicle
$12.00M
25 Mar 2025",127,443.22x,Chronicle
Stani Kulechov,1,"Chronicle
$12.00M
25 Mar 2025",63,2.78x,Chronicle
Coinbase Ventures,1,"Rain
$24.50M
24 Mar 2025",423,3.15x,Rain
Andreessen Horowi...,1,"Walrus
$140.00M
20 Mar 2025",174,331.84x,Walrus
VanEck,1,"Manifest Finance
$2.50M
20 Mar 2025",12,1.44x,Manifest Finance
DragonFly Capital,1,"Hibachi
$5.00M
19 Mar 2025",165,5.88x,Hibachi
Balaji Srinivasan,1,"Pluralis Research
$7.60M
19 Mar 2025",146,3.45x,Pluralis Research
Paradigm,1,"Privy
$15.00M
19 Mar 2025",100,637.78x,Privy
Sequoia Capital,1,"Privy
$15.00M
19 Mar 2025",73,0.96x,Privy
YZi Labs (Prev. B...,1,"Opinion Labs
$5.00M
18 Mar 2025",260,3.03x,Opinion Labs
Santiago R. Santo...,1,"Yeet
$7.75M
18 Mar 2025",75,1.34x,Yeet
Bryan Pellegrino,1,"Yeet
$7.75M
18 Mar 2025",13,0.37x,Yeet
ConsenSys,1,"Mesh
$82.00M
11 Mar 2025",68,2.88x,Mesh
Multicoin Capital,1,"DoubleZero
$28.00M
06 Mar 2025",147,165.09x,DoubleZero
BlackRock,1,"Flowdesk
$52.00M
04 Mar 2025",6,1.44x,Flowdesk
Raj Gokal,1,"Raise
$63.00M
26 Feb 2025",25,0.08x,Raise
Pantera Capital,1,"Ethena
$100.00M
24 Feb 2025",214,101.60x,Ethena
Paul Veradittakit,1,"fomo
$2.00M
18 Feb 2025",13,0.01x,fomo
Circle,1,"Hashnote
N/A
21 Jan 2025",99,4.27x,Hashnote
Blockchain Capita...,1,"Merit Systems
$10.00M
16 Jan 2025",127,7.96x,Merit Systems
Alex Svanevik,1,"Uranium Digital
$1.70M
12 Dec 2024",21,0.02x,Uranium Digital
Y Combinator,1,"Notabene
$14.50M
12 Nov 2024",67,0.83x,Notabene
Arthur Hayes,1,"Cytonic
$8.30M
07 Nov 2024",18,0.28x,Cytonic
Quantstamp,2,"Bloctopus
$1.00M
01 Apr 2025",31,0.40x,Bloctopus
Amber Group,2,"Ambient
$7.20M
31 Mar 2025",93,0.77x,Ambient
Greenfield Capita...,2,"Warlock
$8.00M
27 Mar 2025",39,0.37x,Warlock
Tether,2,"Be Water
$10.80M
27 Mar 2025",14,0.26x,Be Water
P2 Ventures (Poly...,2,"Capx AI
$3.14M
26 Mar 2025",147,0.28x,Capx AI
MH Ventures,2,"Capx AI
$3.14M
26 Mar 2025",127,0.85x,Capx AI
Fenbushi Capital,2,"Chronicle
$12.00M
25 Mar 2025",150,0.41x,Chronicle
Robot Ventures,2,"Chronicle
$12.00M
25 Mar 2025",137,0.61x,Chronicle
IVC,2,"Spot Zero
$4.50M
25 Mar 2025",113,0.43x,Spot Zero
6th Man Ventures,2,"Chronicle
$12.00M
25 Mar 2025",76,1.25x,Chronicle
Immutable,2,"Immortal Rising 2
$3.00M
25 Mar 2025",10,0.72x,Immortal Rising 2
Hypersphere Ventu...,2,"Fragmetric
$5.00M
24 Mar 2025",94,0.95x,Fragmetric
Lightspeed Ventur...,2,"Rain
$24.50M
24 Mar 2025",63,3.66x,Rain
RockawayX,2,"Fragmetric
$5.00M
24 Mar 2025",47,73.68x,Fragmetric
Alliance DAO,2,"Guess.best
$350.00K
21 Mar 2025",72,0.54x,Guess.best
Framework Venture...,2,"Uranium Digital
$6.10M
20 Mar 2025",123,9.06x,Uranium Digital
Mirana Ventures,2,"Uranium Digital
$6.10M
20 Mar 2025",109,1.08x,Uranium Digital
Electric Capital,2,"Walrus
$140.00M
20 Mar 2025",91,440.15x,Walrus
Standard Crypto,2,"Walrus
$140.00M
20 Mar 2025",26,33.17x,Walrus
CoinFund,2,"Pluralis Research
$7.60M
19 Mar 2025",110,25.24x,Pluralis Research
Variant,2,"Pluralis Research
$7.60M
19 Mar 2025",59,68.99x,Pluralis Research
Union Square Vent...,2,"Pluralis Research
$7.60M
19 Mar 2025",46,825.98x,Pluralis Research
Ribbit Capital,2,"Privy
$15.00M
19 Mar 2025",42,1.44x,Privy
Animoca Brands,2,"Opinion Labs
$5.00M
18 Mar 2025",433,1.39x,Opinion Labs
CMT Digital,2,"Daisy
$3.90M
18 Mar 2025",118,407.18x,Daisy
Paul Taylor,2,"Level (Peregrine Exploration)
$2.60M
18 Mar 2025",41,0.54x,Level (Peregrine Exploration)
Digital Currency ...,2,"Slingshot
$16.00M
17 Mar 2025",238,170.22x,Slingshot
Sfermion,2,"Slingshot
$16.00M
17 Mar 2025",95,0.44x,Slingshot
KuCoin Labs,2,"Domin Network
N/A
17 Mar 2025",73,0.13x,Domin Network
OKX Ventures,2,"PlaysOut
$7.00M
14 Mar 2025",211,0.42x,PlaysOut
Kenetic Capital,2,"PlaysOut
$7.00M
14 Mar 2025",136,98.60x,PlaysOut
Accel,2,"RedotPay
$40.00M
14 Mar 2025",35,31.71x,RedotPay
HongShan (ex-Sequ...,2,"RedotPay
$40.00M
14 Mar 2025",21,1.13x,RedotPay
GSR,2,"M10
$3.00M
12 Mar 2025",176,0.32x,M10
Jane Street Capit...,2,"Vest Exchange
$5.00M
12 Mar 2025",20,0.99x,Vest Exchange
Arrington XRP Cap...,2,"Axelar
$30.00M
11 Mar 2025",140,1.07x,Axelar
Republic,2,"Sogni AI
$2.00M
11 Mar 2025",74,3.40x,Sogni AI
Distributed Globa...,2,"Axelar
$30.00M
11 Mar 2025",60,32.32x,Axelar
Slow Ventures,2,"Rakurai
$3.00M
11 Mar 2025",51,178.77x,Rakurai
C² Ventures,2,"Axelar
$30.00M
11 Mar 2025",45,0.27x,Axelar
1kx,2,"Seismic
$7.00M
06 Mar 2025",94,1.15x,Seismic
Maven 11 Capital,2,"August
$10.00M
06 Mar 2025",80,300.28x,August
Wintermute,2,"DoubleZero
$28.00M
06 Mar 2025",77,0.98x,DoubleZero
Boost VC,2,"Sati
$600.00K
05 Mar 2025",39,1134.83x,Sati
Ripple,2,"NCA (National Cryptocurrency Association)
$50.00M
05 Mar 2025",21,2.33x,NCA (National Cryptocurrency Association)
Mask Network,2,"Coral Finance
$3.00M
04 Mar 2025",72,0.66x,Coral Finance
KuCoin Ventures,2,"Coral Finance
$3.00M
04 Mar 2025",54,0.42x,Coral Finance
IOSG Ventures,2,"FanTV
$5.50M
28 Feb 2025",122,0.94x,FanTV
Hack VC,2,"Acki Nacki
$6.00M
28 Feb 2025",96,2.74x,Acki Nacki
Blockchain.com,2,"Acki Nacki
$6.00M
28 Feb 2025",35,9.03x,Acki Nacki
Ethereum Foundati...,2,"Orochi Network
N/A
27 Feb 2025",19,1.08x,Orochi Network
BNB Chain,2,"Orochi Network
N/A
27 Feb 2025",9,0.04x,Orochi Network
MEXC,2,"Ethena USDe
$20.00M
26 Feb 2025",67,0.13x,Ethena USDe
Nascent,2,"Ligero
$4.00M
26 Feb 2025",64,2.32x,Ligero
MEXC Ventures,2,"Ethena
$16.00M
26 Feb 2025",9,0.08x,Ethena
ParaFi Capital,2,"Bitwise
$70.00M
25 Feb 2025",107,3.73x,Bitwise
Shima Capital,2,"IMUA (Prev. Exocore)
N/A
24 Feb 2025",262,0.38x,IMUA (Prev. Exocore)
Draper Dragon,2,"IMUA (Prev. Exocore)
$5.00M
24 Feb 2025",57,0.37x,IMUA (Prev. Exocore)
SamsungNext,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",61,10.01x,Primus Labs (prev. PADO)
Alchemy,2,"Primus Labs (prev. PADO)
$6.50M
21 Feb 2025",53,0.84x,Primus Labs (prev. PADO)
Avalanche Foundat...,2,"KnidosLabs
N/A
21 Feb 2025",21,0.09x,KnidosLabs
CMS Holdings,2,"Hedgemony
N/A
18 Feb 2025",189,7.09x,Hedgemony
GV Google Venture...,2,"Blockaid
$50.00M
18 Feb 2025",19,0.47x,Blockaid
Solana Ventures,2,"BitRobot
$6.00M
14 Feb 2025",140,0.55x,BitRobot
