period,price_usd,price_btc,price_eth,coin_key
24H,84321.17695952475,1.0,52.9696882902514,bitcoin
YTD,93403.4032767955,1.0,28.0197324846923,bitcoin
7D,82651.5452935346,1.0,52.7409943776465,bitcoin
14D,82596.8142943726,1.0,46.2707751954778,bitcoin
MTD,82121.8780137051,1.0,45.5508009181091,bitcoin
30D,83404.4604277448,1.0,42.0901937142159,bitcoin
3M,104201.885107789,1.0,29.9501925326527,bitcoin
6M,68444.4723309677,1.0,25.9043701465241,bitcoin
1Y,63499.0761558325,1.0,20.6943310586934,bitcoin
3Y,41498.9065180182,1.0,13.3678730568382,bitcoin
24H,0.613296720736,7.2684828577e-06,0.00038499887286,eos
YTD,0.773893678608,8.2854976527e-06,0.00023215742773,eos
7D,0.632054914885,7.6472244123e-06,0.00040332221974,eos
14D,0.803491767791,9.7278784255e-06,0.00045011647576,eos
MTD,0.632987399488,7.7079021425e-06,0.00035110111599,eos
30D,0.580174536333,6.956157181e-06,0.00029278600326,eos
3M,0.989959765254,9.5004016888e-06,0.00028453885972,eos
6M,0.483515425181,7.0643458663e-06,0.00018299743016,eos
1Y,0.761039427126,1.19850472353e-05,0.00024802253524,eos
3Y,2.65143464275,6.3891674871e-05,0.00085409579906,eos
24H,1591.799040126305,0.0188778086066136,1.0,ethereum
YTD,3333.56459753538,0.0356899693221729,1.0,ethereum
7D,1567.12148241024,0.0189605829733086,1.0,ethereum
14D,1785.20094115672,0.0216134357772482,1.0,ethereum
MTD,1802.703592232,0.0219515631623908,1.0,ethereum
30D,1981.62545039334,0.0237592263079271,1.0,ethereum
3M,3479.1604199581,0.0333886514275551,1.0,ethereum
6M,2642.18943700476,0.0386034013707971,1.0,ethereum
1Y,3067.32613692137,0.0483050513899427,1.0,ethereum
3Y,3104.37904076586,0.0748062853033968,1.0,ethereum
24H,5.384172689887,6.38104942943e-05,0.0033804775394,neo
YTD,13.554013702977,0.0001451126321683,0.00406592202023,neo
7D,5.253485607065,6.36137921465e-05,0.00335236152468,neo
14D,4.628694931512,5.60741506456e-05,0.00259347183691,neo
MTD,4.99618215029,6.08428582977e-05,0.00276921400178,neo
30D,8.390241194147,0.0001004212494061,0.00424517751368,neo
3M,17.045387094645,0.000163580410057,0.00489928173385,neo
6M,10.550355009375,0.0001541447344112,0.00399303504193,neo
1Y,19.286443707677,0.0003037279418105,0.00628770559333,neo
3Y,22.115476687303,0.0005329170945191,0.00712396147406,neo
24H,2.09554904941,2.48519900335e-05,0.00131646583305,ripple
YTD,2.079374825253,2.22623025747e-05,0.00062376917093,ripple
7D,2.017773733489,2.44130188531e-05,0.00128756689008,ripple
14D,2.047834951041,2.47931469093e-05,0.00114711733779,ripple
30D,2.310825572494,2.77062588816e-05,0.0011661263091,ripple
3M,3.312000968287,3.17844630628e-05,0.00095195408331,ripple
MTD,2.067711648404,2.5178572366e-05,0.00114700589565,ripple
6M,0.546320577225,7.9819532333e-06,0.00020676813311,ripple
1Y,0.506782089255,7.9809364157e-06,0.00016521949954,ripple
3Y,0.775401486655,1.86848654992e-05,0.00024977667884,ripple
24H,0.236835370192,2.8087294169e-06,0.00014878471731,stellar
7D,0.236476480598,2.8606966325e-06,0.00015088141218,stellar
14D,0.25663009594,3.1115368057e-06,0.00014389230914,stellar
30D,0.279640021587,3.3480463436e-06,0.00014067462822,stellar
MTD,0.26295449183,3.2043690619e-06,0.00014606578598,stellar
3M,0.488968289834,4.692509059e-06,0.00014054203624,stellar
6M,0.096636062443,1.4118899475e-06,3.657423691e-05,stellar
YTD,0.332444430114,3.5592325167e-06,9.972641009e-05,stellar
1Y,0.111114884321,1.7498661563e-06,3.622532439e-05,stellar
3Y,0.204137768125,4.919111978e-06,6.57580036e-05,stellar
24H,0.615539886937,7.299944203e-06,0.00038669447048,cardano
7D,0.63252803342,7.6529486675e-06,0.00040362412265,cardano
14D,0.641229864026,7.7633728311e-06,0.00035919198183,cardano
30D,0.716329404908,8.5886222539e-06,0.00036148577157,cardano
MTD,0.641586948179,7.812619045e-06,0.00035590262922,cardano
3M,1.139206387976,1.09326850162e-05,0.0003274371545,cardano
6M,0.350553226825,5.1217171363e-06,0.00013267528131,cardano
YTD,0.843974983368,9.035805482e-06,0.00025317492992,cardano
1Y,0.459923801354,7.2429998859e-06,0.0001499429082,cardano
3Y,0.952789508818,2.29593883011e-05,0.00030691790413,cardano
24H,75.026746761596,0.0008897734764496,0.04713330318106,litecoin
7D,77.132350414408,0.0009332233310397,0.04921912645584,litecoin
14D,82.910091640452,0.0010037928502298,0.04644300242567,litecoin
30D,90.475818839858,0.0010847839357253,0.04565737628264,litecoin
MTD,82.023362836732,0.000998800378421,0.04550019381454,litecoin
3M,137.034843560917,0.0013150898701992,0.03938733114312,litecoin
6M,73.226738558267,0.0010698707443338,0.02771441651106,litecoin
YTD,102.930451154565,0.0011019989373357,0.03087699312342,litecoin
1Y,80.882308202896,0.001273755668577,0.02636899520704,litecoin
3Y,113.822876156629,0.0027427921771194,0.03666526370071,litecoin
24H,332.335840897709,0.0039386764691313,0.20865858329606,bitcoin-cash
7D,304.594867894932,0.0036852894499815,0.194365830163,bitcoin-cash
14D,301.600096831523,0.0036514737209674,0.16894462123468,bitcoin-cash
30D,335.792347052781,0.0040260718111555,0.16945298466273,bitcoin-cash
MTD,297.350668715372,0.0036208459415133,0.16494706617143,bitcoin-cash
3M,489.865124450319,0.004701115761424,0.14079980952882,bitcoin-cash
6M,367.067011609101,0.0053629898676715,0.13892531945976,bitcoin-cash
YTD,434.370978806807,0.0046504834253156,0.13030225336805,bitcoin-cash
1Y,490.929791649942,0.0077312903016913,0.16005138343153,bitcoin-cash
3Y,340.378684503081,0.0082021121292749,0.1096446922342,bitcoin-cash
24H,0.156931241544,1.8598697831e-06,9.85300004e-05,iota
7D,0.16080690922,1.9456007586e-06,0.00010261291867,iota
14D,0.161663378009,1.9572592404e-06,9.055752452e-05,iota
30D,0.185245306351,2.221047956e-06,9.348149334e-05,iota
MTD,0.166479202127,2.0272210786e-06,9.234973672e-05,iota
3M,0.398986721959,3.8289779647e-06,0.00011467902419,iota
6M,0.120341970404,1.7582423577e-06,4.554630668e-05,iota
YTD,0.281032047867,3.0087988018e-06,8.430376543e-05,iota
1Y,0.229800128565,3.6189523136e-06,7.491871366e-05,iota
3Y,0.686565807533,1.65441903206e-05,0.00022116043129,iota
24H,216.876659923487,0.002570312593541,0.13616700650576,monero
7D,202.317777597059,0.0024498403563329,0.1291033009517,monero
14D,215.632968869414,0.0026122774906209,0.12081980777467,monero
30D,208.760876528142,0.0024986204285384,0.10562592400707,monero
MTD,215.758475825639,0.0026274787380263,0.11958759194232,monero
3M,231.474826200232,0.0022214072803077,0.06653180602779,monero
6M,160.608621871509,0.0023465535842672,0.06078618725143,monero
YTD,193.417924431287,0.0020707802675894,0.05802135185089,monero
1Y,116.430149109089,0.0018335723314046,0.03795819026468,monero
3Y,254.469048056493,0.0061319458609351,0.0819709979725,monero
24H,0.017325995042,2.05338939e-07,1.087820552e-05,nem
7D,0.015945359279,1.929227e-07,1.017493504e-05,nem
14D,0.014719359346,1.782073494e-07,8.24521151e-06,nem
30D,0.019485745698,2.336295397e-07,9.83321328e-06,nem
MTD,0.016318967027,1.987164373e-07,9.05249598e-06,nem
3M,0.027363424633,2.626000922e-07,7.86495054e-06,nem
6M,0.01801239667,2.631680259e-07,6.81722378e-06,nem
YTD,0.023766350982,2.544484478e-07,7.12941066e-06,nem
1Y,0.036914473037,5.813387418e-07,1.203474016e-05,nem
3Y,0.101589769246,2.4480107494e-06,3.272466664e-05,nem
24H,0.247272719488,2.9325354575e-06,0.00015539998103,tron
7D,0.237800983292,2.8771510859e-06,0.00015174380925,tron
14D,0.238343497392,2.8856257887e-06,0.00013351073927,tron
30D,0.229688797083,2.7539150293e-06,0.00011590928903,tron
MTD,0.233047768867,2.837828049e-06,0.00012927680949,tron
3M,0.249298670359,2.3924583524e-06,7.16548363e-05,tron
6M,0.158436426336,2.3148169741e-06,5.996406772e-05,tron
1Y,0.109808076851,1.7292862117e-06,3.579928314e-05,tron
YTD,0.254390002268,2.7235624543e-06,7.631170623e-05,tron
3Y,0.063422565342,1.5282948555e-06,2.043003271e-05,tron
24H,14.932082992524,0.0001769675029901,0.00937517685262,ethereum-classic
1Y,26.149740458763,0.0004118129277124,0.00852525596936,ethereum-classic
7D,15.064777956143,0.0001822685577461,0.00961302497939,ethereum-classic
14D,15.961178568247,0.0001932420602974,0.00894083024508,ethereum-classic
30D,18.063357284029,0.0002165754348315,0.00911542455233,ethereum-classic
MTD,16.57603889989,0.0002018468074625,0.00919509950017,ethereum-classic
3M,28.334481707098,0.0002719190893503,0.00814405726869,ethereum-classic
6M,19.352972012716,0.0002827543460213,0.00732459669306,ethereum-classic
YTD,25.01413338952,0.0002678075157004,0.00750371941435,ethereum-classic
3Y,37.783815605835,0.0009104773782276,0.01217113474536,ethereum-classic
24H,20.415087443654,0.0002419493013825,0.012817706367,dash
MTD,21.827051040168,0.0002657885032357,0.01210795337305,dash
1Y,29.047060308302,0.0004574406757827,0.00946983105535,dash
7D,20.282233973132,0.000245394492034,0.01294234952477,dash
14D,21.334535575883,0.0002582973176162,0.01195077544719,dash
30D,23.920548058014,0.0002868017841652,0.01207117523307,dash
3M,43.841639620766,0.0004207374902615,0.01260121245611,dash
6M,23.783049154674,0.0003474794726982,0.00900126570093,dash
YTD,37.828560287103,0.0004050019481089,0.01134778078549,dash
3Y,109.492572201157,0.0026384447540471,0.03527036188665,dash
24H,1.964325120059,2.32957507342e-05,0.00123402833558,qtum
MTD,1.922876275504,2.34322114225e-05,0.00106811803278,qtum
1Y,4.142981970589,6.52447597887e-05,0.00135068192479,qtum
7D,1.933335111997,2.33878871609e-05,0.00123354479557,qtum
14D,1.852047204091,2.2455328243e-05,0.00103844152748,qtum
30D,2.256839349686,2.70204625573e-05,0.00113531687868,qtum
3M,3.5194231405,3.37750429069e-05,0.00101157253926,qtum
6M,2.549509926108,3.72493181594e-05,0.00096492321497,qtum
YTD,3.012546590137,3.22530709209e-05,0.00090370127891,qtum
3Y,6.825063727307,0.0001644637003711,0.00219852783364,qtum
24H,0.872147854914,1.03362557119e-05,0.0005475820343,nano
MTD,0.892028078533,1.08622464574e-05,0.00049482792533,nano
1Y,1.049036770777,1.6520504459e-05,0.0003420036618,nano
7D,0.861323513209,1.04211422805e-05,0.00054962140643,nano
14D,0.781302667485,9.4592348889e-06,0.00043765530785,nano
30D,1.099418087553,1.3181766082e-05,0.00055480620081,nano
3M,1.50022986801,1.43973390353e-05,0.00043120456861,nano
6M,0.862601485193,1.26029386423e-05,0.00032647223288,nano
YTD,1.258898511559,1.3478079678e-05,0.00037764335285,nano
3Y,2.137128308228,5.14984245983e-05,0.00068842376532,nano
24H,0.549891823779,6.5170400551e-06,0.00034525210584,bitcoin-gold
MTD,0.542891545214,6.6108028499e-06,0.00030115408188,bitcoin-gold
1Y,33.143528527836,0.0005219529248977,0.01080534871362,bitcoin-gold
7D,0.939470234781,1.13666384754e-05,0.00059948781593,bitcoin-gold
14D,0.687620688915,8.3250267554e-06,0.00038517831414,bitcoin-gold
30D,3.197688274757,3.83395355399e-05,0.00161366936124,bitcoin-gold
3M,12.196726848485,0.0001170490038243,0.00350565233455,bitcoin-gold
6M,23.407841379476,0.0003419975431513,0.00885925931413,bitcoin-gold
YTD,9.868361562413,0.000105653126291,0.00296030308508,bitcoin-gold
3Y,35.842351280174,0.0008636938726232,0.01154573936027,bitcoin-gold
MTD,38.118100054777,0.000464507982591,0.02117381682975,zcash
1Y,22.037673277582,0.0003470550220841,0.00718465278678,zcash
24H,31.367479643965,0.0003720000215251,0.0197056782001,zcash
7D,36.978293590361,0.0004473327735725,0.02359362395295,zcash
14D,39.108265816044,0.0004741720102886,0.02192797635046,zcash
30D,33.030480633752,0.0003954640658581,0.01661618589723,zcash
3M,55.045390568801,0.0005282571472854,0.01582145803138,zcash
6M,35.889880073984,0.0005243649173075,0.01358338640346,zcash
YTD,55.809864879547,0.0005975142545305,0.0167417979303,zcash
3Y,158.878151503819,0.0038284900696079,0.05117872186916,zcash
MTD,0.091970578393,1.1199278513e-06,5.101813675e-05,icon
6M,0.143460892964,2.0960186861e-06,5.429621773e-05,icon
1Y,0.237140439965,3.7345494505e-06,7.731177885e-05,icon
24H,0.094899039765,1.1246954702999999e-06,5.9582797750000004e-05,icon
7D,0.088868627313,1.0752203966e-06,5.670819289e-05,icon
14D,0.085408236026,1.0340378955e-06,4.784236556e-05,icon
30D,0.105190727652,1.2612122555e-06,5.308305242e-05,icon
3M,0.199233552981,1.9119956686e-06,5.726483661e-05,icon
YTD,0.181487718871,1.9430525281e-06,5.444253848e-05,icon
3Y,0.806034505792,1.94230299886e-05,0.00025964435889,icon
24H,585.896248259469,0.0069483879303619,0.36807174366243,bnb
MTD,594.547815057315,0.0072451723913132,0.33025902430767,bnb
6M,599.390125304692,0.008757319691301,0.22685357715462,bnb
1Y,552.115921571816,0.0086948654216145,0.17999909267098,bnb
7D,584.372199646355,0.0070692509438729,0.37285273570895,bnb
14D,589.615024236651,0.0071488452761812,0.33059671753674,bnb
30D,616.156776483195,0.007377060804409,0.30996144601734,bnb
3M,722.026236519939,0.006929109159331,0.20752887172953,bnb
YTD,700.98661621367,0.0075049365614263,0.21028139569635,bnb
3Y,422.252635331896,0.0101750303986579,0.13601838879434,bnb
24H,0.14742837445,1.7472466038e-06,9.256358167e-05,steem
MTD,0.125941746876,1.5335955524e-06,6.986270367e-05,steem
6M,0.179412598431,2.6212868961e-06,6.790300344e-05,steem
1Y,0.26655346479,4.1977534309e-06,8.690092051e-05,steem
7D,0.129920725608,1.5719092141e-06,8.290405502e-05,steem
14D,0.118760929597,1.4378391057e-06,6.652524478e-05,steem
30D,0.138122145622,1.6560522652e-06,6.970143909e-05,steem
3M,0.262310548898,2.5173301676e-06,7.539478415e-05,steem
YTD,0.280106436831,2.9988889805e-06,8.402610138e-05,steem
3Y,0.35252657903,8.4948401924e-06,0.0001135578402,steem
14D,0.004155368672,5.03090671e-08,2.3276756e-06,verge
24H,0.004228798108,5.0117578500000005e-08,2.6550703e-06,verge
MTD,0.004530927319,5.51732063e-08,2.51340672e-06,verge
6M,0.003879576228,5.66820971e-08,1.46831873e-06,verge
1Y,0.005613388829,8.84011102e-08,1.83005933e-06,verge
7D,0.004188884386,5.06812591e-08,2.67298e-06,verge
30D,0.005036749834,6.03894541e-08,2.54172646e-06,verge
3M,0.014053230416,1.348654144e-07,4.03925911e-06,verge
YTD,0.013165274014,1.409506886e-07,3.9493082e-06,verge
3Y,0.010876779842,2.620979865e-07,3.50368937e-06,verge
24H,0.075978962222,9.004642709e-07,4.770374021e-05,stratis
MTD,0.0388406398,4.729633654e-07,2.154577157e-05,stratis
6M,0.049984994393,7.302999452e-07,1.891802067e-05,stratis
1Y,0.086766857036,1.3664270772e-06,2.828745727e-05,stratis
7D,0.040487831504,4.898617607e-07,2.583579637e-05,stratis
14D,0.035382256266,4.283731348e-07,1.981976115e-05,stratis
30D,0.043809077883,5.252606115e-07,2.210764798e-05,stratis
3M,0.078166958995,7.501491831e-07,2.246719023e-05,stratis
YTD,0.074300395805,7.954784644e-07,2.228857238e-05,stratis
3Y,1.091866626898,2.63107324629e-05,0.00035171820598,stratis
24H,2.5263539e-05,2.994107e-10,1.5861830000000002e-08,bytecoin-bcn
7D,2.5246306e-05,3.054547e-10,1.610999e-08,bytecoin-bcn
MTD,2.8108339e-05,3.422759e-10,1.559232e-08,bytecoin-bcn
6M,2.2053376e-05,3.222083e-10,8.34663e-09,bytecoin-bcn
YTD,3.1713909e-05,3.39537e-10,9.51351e-09,bytecoin-bcn
1Y,3.0319265e-05,4.774757e-10,9.88459e-09,bytecoin-bcn
14D,2.4666127e-05,2.986329e-10,1.3817e-08,bytecoin-bcn
30D,2.8430474e-05,3.408747e-10,1.434705e-08,bytecoin-bcn
3M,3.5497706e-05,3.406628e-10,1.020295e-08,bytecoin-bcn
3Y,0.000141160433,3.4015458e-09,4.547139e-08,bytecoin-bcn
24H,0.003140190053,3.72159459e-08,1.97158274e-06,siacoin
7D,0.002919555619,3.53236665e-08,1.86300529e-06,siacoin
MTD,0.003002739209,3.65644245e-08,1.6656866e-06,siacoin
6M,0.004985620617,7.284183e-08,1.88692777e-06,siacoin
YTD,0.005304762158,5.67940993e-08,1.59131824e-06,siacoin
1Y,0.007320318571,1.152822846e-07,2.38654719e-06,siacoin
14D,0.002783100044,3.36950047e-08,1.55898419e-06,siacoin
30D,0.003382568071,4.05562011e-08,1.7069664e-06,siacoin
3M,0.006261166417,6.00868824e-08,1.79961993e-06,siacoin
3Y,0.010822154633,2.607816818e-07,3.48609319e-06,siacoin
24H,1.029412451624,1.2210846046e-05,0.00064620746338,waves
7D,1.058173165799,1.27791976402e-05,0.00067251139484,waves
MTD,1.165478871664,1.42392693652e-05,0.00064883354664,waves
3M,1.91822900262,1.84087744731e-05,0.00055134824816,waves
6M,1.09251915799,1.59621240516e-05,0.00041349009374,waves
YTD,1.517897261016,1.62509845227e-05,0.00045533758732,waves
1Y,2.658169694618,4.1861549105e-05,0.0008666081062,waves
14D,1.097146875543,1.32122713483e-05,0.00061084497528,waves
30D,1.445255406206,1.72856069209e-05,0.00073467808658,waves
3Y,21.191775611205,0.0005106586507768,0.00682641369914,waves
24H,0.000968692355,1.1482487400000001e-08,6.0786778e-07,bitshares
7D,0.000876686271,1.06156831e-08,5.5943226e-07,bitshares
MTD,0.000927764366,1.12981941e-08,5.1422826e-07,bitshares
3M,0.001344930894,1.29069728e-08,3.8656766e-07,bitshares
6M,0.001738493145,2.54000518e-08,6.5797445e-07,bitshares
YTD,0.001800002686,1.92712752e-08,5.3996334e-07,bitshares
1Y,0.003061340451,4.82107872e-08,9.9804857e-07,bitshares
14D,0.000928112924,1.12435891e-08,5.2002449e-07,bitshares
30D,0.001027628076,1.22994909e-08,5.1994496e-07,bitshares
3Y,0.023025756988,5.548521376e-07,7.41718607e-06,bitshares
24H,11.226991734645,0.0001331740911185,0.00704767640884,decred
6M,12.695809244688,0.0001854906439091,0.00480503368414,decred
7D,13.057595934853,0.0001577246325496,0.00830946468487,decred
